url,views,days,name
https://www.triphobo.com/tripplans/oakland/itinerary-from-salt-lake-city-564ced3e8427a5d14700088c,55,2 Days,Trip to Oakland
https://www.triphobo.com/tripplans/oakland/itinerary-from-reno-562459cc86ccbef3670000bc,48,2 Days,Trip to Oakland
https://www.triphobo.com/tripplans/oakland/itinerary-from-paradise-5659f25385e482c806000152,33,1 Day,Trip to Oakland
https://www.triphobo.com/tripplans/oakland/itinerary-from-kansas-city-5689a5e08527a5421f0001bb,33,26 Days,Trip to Oakland
https://www.triphobo.com/tripplans/oakland/itinerary-from-ohio-city-566c72d19bd33e01090006a7,28,1 Day,Trip to Oakland
https://www.triphobo.com/tripplans/san-francisco/itinerary-from-orange-5738d3c44e82316951001357,16,3 Days,3 Day Trip to San Francisco from Orange
https://www.triphobo.com/tripplans/oakland/itinerary-from-san-francisco-575752f94e8231bd02000619,15,4 Days,4 Day Trip to Oakland from San Francisco
https://www.triphobo.com/tripplans/oakland/itinerary-from-orlando-57cdf5554e8231d35100096b,12,3 Days,3 Day Trip to Oakland from Orlando
https://www.triphobo.com/tripplans/oakland/itinerary-from-oakland-57c006b55fec37ed60007053,9,1 Day,1 Day Trip to oakland
https://www.triphobo.com/tripplans/oakland/itinerary-from-oakland-57c006925fec37e958006e70,4,7 Days,7 Days Trip to oakland
https://www.triphobo.com/tripplans/oakland/itinerary-from-oakland-57c4b5855fec377814003ed0,4,2 Days,2 Days Trip to oakland
https://www.triphobo.com/tripplans/san-francisco-las-vegas-oakland-trip-from-san-jose-55dd37109006707d62000a59,180,13 Days,"Trip to Las Vegas, San Francisco, Oakland"
https://www.triphobo.com/tripplans/united-states-trip-from-phoenix-55c2839b1aa23cbf7d0000db,96,10 Days,"Trip to Las Vegas, Los Angeles, Yosemite National Park, Oakland, Grand Canyon National Park"
https://www.triphobo.com/tripplans/manhattan-beach-oakland-itinerary-from-atlanta-5624eb7a86ccbe651b0004c1,76,4 Days,"Trip to Oakland, Manhattan Beach"
https://www.triphobo.com/tripplans/big-sur/itinerary-from-berkeley-575a67b64e8231fc2700096e,64,3 Days,3 Day Trip to Big Sur from Berkeley
https://www.triphobo.com/tripplans/oakland/itinerary-from-friendswood-56b01231dd853a634c0003c0,46,2 Days,Trip to Oakland
https://www.triphobo.com/tripplans/oakland-las-vegas-itinerary-from-austin-56aec26add853aad3700082d,45,3 Days,"Trip to Las Vegas, Oakland"
https://www.triphobo.com/tripplans/united-states-itinerary-from-los-angeles-57b94c634e8231ab27000599,40,9 Days,"Trip to Las Vegas, San Diego, San Francisco, San Jose, Yosemite National Park, Oakland, Sacramento, Grand Canyon National Park"
https://www.triphobo.com/tripplans/north-america-europe-itinerary-from-eugene-571d172e4e8231b947000462,38,35 Days,"35 Day Trip to Germany, Belgium, Bosnia and Herzegovina, Hungary, United States, Luxembourg from Eugene"
https://www.triphobo.com/tripplans/united-states-canada-itinerary-from-tucson-572031b84e82311367001a22,38,41 Days,"41 Day Trip to United States, Canada from Tucson"
https://www.triphobo.com/tripplans/san-francisco/itinerary-from-antelope-568cb54ea6d46d04220009ea,17,1 Day,Trip to San Francisco
https://www.triphobo.com/tripplans/los-angeles-miami-san-francisco-itinerary-from-auckland-57ce37034e82314f2b001de1,5,13 Days,"13 Day Trip to Miami, Los Angeles, San Francisco from Auckland"
https://www.triphobo.com/tripplans/san-francisco-oakland-itinerary-from-helena-5835c2c24e82314b3d00077c,4,8 Days,"8 Day Trip to San Francisco, Oakland from Helena"
